Year,Quarter,Total_CapEx,Total_Laid_Off
2020,Q1 (1-3月),23.225,7441
2020,Q2 (4-6月),23.225,49360
2020,Q3 (7-9月),23.225,4390
2020,Q4 (10-12月),23.225,419
2021,Q1 (1-3月),31.225,848
2021,Q2 (4-6月),31.225,2594
2021,Q3 (7-9月),31.225,78
2021,Q4 (10-12月),31.225,3270
2022,Q1 (1-3月),36.275,8079
2022,Q2 (4-6月),36.275,27485
2022,Q3 (7-9月),36.275,25495
2022,Q4 (10-12月),36.275,66753
2023,Q1 (1-3月),34.025,121667
2023,Q2 (4-6月),34.025,29694
2023,Q3 (7-9月),34.025,14114
2023,Q4 (10-12月),34.025,11501
2024,Q1 (1-3月),49.45,49459
2024,Q2 (4-6月),49.45,32529
2024,Q3 (7-9月),49.45,31446
2024,Q4 (10-12月),49.45,8881
2025,Q1 (1-3月),59,20772
2025,Q2 (4-6月),59,32293
2025,Q3 (7-9月),59,26278
2025,Q4 (10-12月),59,6859
